,name,false_positive,talk.religion.misc,soc.religion.christian,rec.sport.baseball,misc.forsale,sci.space,sci.crypt,rec.sport.hockey,sci.electronics,alt.atheism,talk.politics.mideast,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,sci.med,comp.graphics,rec.autos,comp.os.ms-windows.misc,talk.politics.guns,rec.motorcycles,talk.politics.misc
0,talk.religion.misc,0.5641025641025641,85.0,10.0,4.0,0.0,9.0,0.0,2.0,1.0,30.0,3.0,0.0,1.0,1.0,11.0,1.0,0.0,4.0,13.0,2.0,18.0
1,soc.religion.christian,0.24873096446700504,18.0,148.0,2.0,1.0,3.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0
2,rec.sport.baseball,0.22513089005235598,0.0,0.0,148.0,1.0,4.0,3.0,16.0,1.0,2.0,3.0,3.0,1.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0
3,misc.forsale,0.46232876712328763,0.0,4.0,6.0,157.0,6.0,2.0,2.0,11.0,1.0,0.0,12.0,18.0,9.0,19.0,11.0,15.0,8.0,3.0,5.0,3.0
4,sci.space,0.17791411042944782,1.0,2.0,1.0,1.0,134.0,2.0,1.0,5.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0
5,sci.crypt,0.24752475247524752,1.0,1.0,0.0,0.0,6.0,152.0,0.0,12.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,10.0,0.0,9.0
6,rec.sport.hockey,0.11917098445595853,1.0,0.0,12.0,2.0,1.0,0.0,170.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0
7,sci.electronics,0.4558823529411765,1.0,1.0,1.0,5.0,1.0,0.0,0.0,37.0,0.0,2.0,1.0,1.0,2.0,6.0,2.0,5.0,0.0,1.0,1.0,1.0
8,alt.atheism,0.721881390593047,68.0,24.0,15.0,6.0,17.0,13.0,6.0,13.0,136.0,87.0,3.0,3.0,6.0,25.0,20.0,3.0,4.0,17.0,3.0,20.0
9,talk.politics.mideast,0.13761467889908252,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0
10,comp.sys.ibm.pc.hardware,0.5501730103806228,2.0,1.0,2.0,11.0,2.0,7.0,1.0,30.0,1.0,0.0,130.0,33.0,18.0,7.0,22.0,3.0,18.0,0.0,1.0,0.0
11,comp.sys.mac.hardware,0.5151515151515151,1.0,0.0,0.0,4.0,5.0,3.0,0.0,33.0,0.0,0.0,29.0,128.0,13.0,12.0,18.0,6.0,10.0,0.0,1.0,1.0
12,comp.windows.x,0.11392405063291144,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,70.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
13,sci.med,0.028169014084507005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0
14,comp.graphics,0.3307692307692308,1.0,0.0,0.0,0.0,3.0,4.0,0.0,5.0,0.0,0.0,2.0,0.0,16.0,5.0,87.0,1.0,6.0,0.0,0.0,0.0
15,rec.autos,0.2359550561797753,0.0,0.0,1.0,3.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,1.0,8.0,0.0,136.0,0.0,2.0,13.0,3.0
16,comp.os.ms-windows.misc,0.5134099616858238,0.0,3.0,2.0,1.0,0.0,5.0,0.0,12.0,0.0,0.0,17.0,10.0,53.0,1.0,29.0,1.0,127.0,0.0,0.0,0.0
17,talk.politics.guns,0.446969696969697,18.0,0.0,0.0,1.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,5.0,0.0,146.0,6.0,72.0
18,rec.motorcycles,0.3639846743295019,2.0,2.0,5.0,7.0,3.0,3.0,0.0,24.0,3.0,1.0,0.0,1.0,4.0,12.0,2.0,19.0,1.0,2.0,166.0,4.0
19,talk.politics.misc,0.2948717948717948,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,4.0,0.0,55.0
